"Addon Id","Name","Invoice Name","Type","Pricing Model","Charge Type","Price","Period","Period Unit","Unit","Status","Archived At","Description","Currency","SKU","Accounting Code","Accounting Category1","Accounting Category2","Accounting Category3","Accounting Category4","Taxable","Price in Decimal"
"yearly_10460_2_300","Max 2 websites & 300 keywords / 1yr - 10460","Max 2 websites & 300 keywords / 1yr - 10460","On Off","Flat Fee","Recurring","590.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_10460_8_300","Max 8 websites & 300 keywords / 1yr - 10460","","On Off","Flat Fee","Recurring","490.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_10460_11_1000","Max 11 websites & 1000 keywords / 1yr - 10460","","On Off","Flat Fee","Recurring","490.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_10460_35_5600","Max 35 websites & 5600 keywords / 1yr - 10460","","On Off","Flat Fee","Recurring","490.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_17082_2_700","Max 2 websites & 700 keywords / 1yr - 17082","","On Off","Flat Fee","Recurring","730.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_4900_1_5000","Max 1 website & 5000 keywords / 1yr - 4900","","On Off","Flat Fee","Recurring","490.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_19157_3_800","Max 3 websites & 800 keywords / 1yr - 19157","","On Off","Flat Fee","Recurring","550.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_18754_1_1238","Max 1 website & 1238 keywords / 1yr - 18754","","On Off","Flat Fee","Recurring","1060.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_19015_1_300","Max 1 website & 300 keywords / 1yr - 19015","","On Off","Flat Fee","Recurring","490.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_8922_1_300","Max 1 website & 300 keywords / 1yr - 8922","","On Off","Flat Fee","Recurring","450.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_8922_3_300","Max 3 websites & 300 keywords / 1yr - 8922","","On Off","Flat Fee","Recurring","690.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_5620_20_15000","Max 20 websites & 15000 keywords / 1yr - 5620","","On Off","Flat Fee","Recurring","5150.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_12238_1_300","Max 1 website & 300 keywords / 1yr - 12238","","On Off","Flat Fee","Recurring","220.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_10459_2_300","Max 2 websites & 300 keywords / 1yr - 10459","","On Off","Flat Fee","Recurring","590.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_10459_2_1300","Max 2 websites & 1300 keywords / 1yr - 10459","","On Off","Flat Fee","Recurring","590.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_10459_2_5300","Max 2 websites & 5300 keywords / 1yr - 10459","","On Off","Flat Fee","Recurring","2370.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_10459_2_6500","Max 2 websites & 6500 keywords / 1yr - 10459","","On Off","Flat Fee","Recurring","2600.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_10459_2_2600","Max 2 websites & 2600 keywords / 1yr - 10459","","On Off","Flat Fee","Recurring","1760.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_12753_1_300","Max 1 website & 300 keywords / 1yr - 12753","","On Off","Flat Fee","Recurring","490.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_19374_1_300","Max 1 website & 300 keywords / 1yr - 19374","","On Off","Flat Fee","Recurring","490.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_19374_17_300","Max 17 websites & 300 keywords / 1yr - 19374","","On Off","Flat Fee","Recurring","2090.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_19374_3_300","Max 3 websites & 300 keywords / 1yr - 19374","","On Off","Flat Fee","Recurring","690.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_19374_26_300","Max 26 websites & 300 keywords / 1yr - 19374","","On Off","Flat Fee","Recurring","2990.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_19349_1_300","Max 1 website & 300 keywords / 1yr - 19349","","On Off","Flat Fee","Recurring","490.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_19047_2_300","Max 2 websites & 300 keywords / 1yr - 19047","","On Off","Flat Fee","Recurring","590.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_4474_65_20000","Max 65 websites & 20000 keywords / 1yr - 4474","","On Off","Flat Fee","Recurring","11120.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_13030_7_3420","Max 7 websites & 3420 keywords / 1yr - 13030","","On Off","Flat Fee","Recurring","2410.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_13222_8_13000","Max 8 websites & 13000 keywords / 1yr - 13222","","On Off","Flat Fee","Recurring","4700.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_19766_2_441","Max 2 websites & 441 keywords / 1yr - 19766","","On Off","Flat Fee","Recurring","670.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_19743_15_17000","Max 15 websites & 17000 keywords / 1yr - 19743","","On Off","Flat Fee","Recurring","5300.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_9033_1_300","Max 1 website & 300 keywords / 1yr - 9033","","On Off","Flat Fee","Recurring","480.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_9033_1_100","Max 1 website & 100 keywords / 1yr - 9033","","On Off","Flat Fee","Recurring","220.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_14986_1_1897","Max 1 website & 1897 keywords / 1yr - 14986","","On Off","Flat Fee","Recurring","1740.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_20304_100_100001","Max 100 websites & 100001 keywords / 1yr - 20304","","On Off","Flat Fee","Recurring","37000.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_20365_11_1447","Max 11 websites & 1447 keywords / 1yr - 20365","","On Off","Flat Fee","Recurring","2190.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_8705_20_10000","Max 20 websites & 10000 keywords / 1yr - 8705","","On Off","Flat Fee","Recurring","4150.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_14149_2_500","Max 2 websites & 500 keywords / 1yr - 14149","","On Off","Flat Fee","Recurring","690.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_20455_1_0","Max 1 website & 0 keyword / 1yr - 20455","","On Off","Flat Fee","Recurring","490.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_16906_1_230","Max 2 website & 500 keywords / 1yr - 16906","Max 2 website & 500 keywords / 1yr - 16906","On Off","Flat Fee","Recurring","690.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_11771_1_29","Max 1 website & 29 keywords / 1yr - 11771","","On Off","Flat Fee","Recurring","220.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_16841_1_100","Max 1 website & 100 keywords / 1yr - 16841","","On Off","Flat Fee","Recurring","220.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_20560_100_100001","Max 100 websites & 100001 keywords / 1yr - 20560","","On Off","Flat Fee","Recurring","37000.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_11771_1_100","Max 1 website & 100 keywords / 1yr - 11771","","On Off","Flat Fee","Recurring","220.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_9836_8_8000","Max 8 websites & 8000 keywords / 1yr - 9836","","On Off","Flat Fee","Recurring","2650.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_16244_2_500","Max 2 websites & 500 keywords / 1yr - 16244","","On Off","Flat Fee","Recurring","690.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_20701_1_0","Max 1 website & 0 keyword / 1yr - 20701","","On Off","Flat Fee","Recurring","490.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_20728_1_0","Max 1 website & 0 keyword / 1yr - 20728","","On Off","Flat Fee","Recurring","0.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_20728_3_0","Max 3 websites & 0 keyword / 1yr - 20728","","On Off","Flat Fee","Recurring","690.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_10459_3_188","Max 3 websites & 188 keywords / 1yr - 10459","","On Off","Flat Fee","Recurring","690.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_10459_3_400","Max 3 websites & 400 keywords / 1yr - 10459","","On Off","Flat Fee","Recurring","780.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_10459_2_600","Max 2 websites & 600 keywords / 1yr - 10459","","On Off","Flat Fee","Recurring","800.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_10459_12_188","Max 12 websites & 188 keywords / 1yr - 10459","","On Off","Flat Fee","Recurring","1590.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_10459_4_300","Max 4 websites & 300 keywords / 1yr - 10459","","On Off","Flat Fee","Recurring","790.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_10459_3_300","Max 3 websites & 300 keywords / 1yr - 10459","","On Off","Flat Fee","Recurring","690.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_20513_1_0","Max 1 website & 0 keyword / 1yr - 20513","","On Off","Flat Fee","Recurring","490.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_20728_1_100","Max 1 website & 100 keywords / 1yr - 20728","","On Off","Flat Fee","Recurring","1000.00","1","Year","","Active","","","RON","","","","","","","true",""
"yearly_20728_1_300","Max 1 website & 300 keywords / 1yr - 20728","","On Off","Flat Fee","Recurring","5750.00","1","Year","","Active","","","RON","","","","","","","true",""
"yearly_20883_25_94000","Max 25 websites & 94000 keywords / 1yr - 20883","","On Off","Flat Fee","Recurring","27880.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_5559_1_100","Max 1 website & 100 keywords / 1yr - 5559","","On Off","Flat Fee","Recurring","220.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_18569_11_3275","Max 11 websites & 3275 keywords / 1yr - 18569","","On Off","Flat Fee","Recurring","12780.00","1","Year","","Active","","","RON","","","","","","","true",""
"yearly_16651_3_2000","Max 3 websites & 2000 keywords / 1yr - 16651","","On Off","Flat Fee","Recurring","1790.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_3132_76_52646","Max 76 websites & 52646 keywords / 1yr - 3132","","On Off","Flat Fee","Recurring","102030.00","1","Year","","Active","","","RON","","","","","","","true",""
"yearly_12959_2_5000","Max 2 websites & 5000 keywords / 1yr - 12959","","On Off","Flat Fee","Recurring","1810.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_9928_2_5000","Max 2 websites & 5000 keywords / 1yr - 9928","","On Off","Flat Fee","Recurring","2030.00","1","Year","","Active","","","USD","","","","","","","true",""
"yearly_13477_20_15000","Max 20 websites & 15000 keywords / 1yr - 13477","","On Off","Flat Fee","Recurring","6000.00","1","Year","","Active","","","USD","","","","","","","true",""
"yearly_20984_14_1338","Max 14 websites & 1338 keywords / 1yr - 20984","","On Off","Flat Fee","Recurring","2430.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_14859_13_3300","Max 13 websites & 3300 keywords / 1yr - 14859","","On Off","Flat Fee","Recurring","3010.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_14859_1_9","Max 1 website & 9 keywords / 1yr - 14859","","On Off","Flat Fee","Recurring","490.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_21175_1_20","Max 1 website & 20 keywords / 1yr - 21175","","On Off","Flat Fee","Recurring","490.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_21221_3_2000","Max 3 websites & 2000 keywords / 1yr - 21221","","On Off","Flat Fee","Recurring","1740.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_21221_1_839","Max 1 website & 839 keywords / 1yr - 21221","","On Off","Flat Fee","Recurring","820.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_21221_3_839","Max 3 websites & 839 keywords / 1yr - 21221","","On Off","Flat Fee","Recurring","1020.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_21221_3_1600","Max 3 websites & 1600 keywords / 1yr - 21221","","On Off","Flat Fee","Recurring","1500.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_10890_2_230","Max 2 websites & 230 keywords / 1yr - 10890","","On Off","Flat Fee","Recurring","1730.00","1","Year","","Active","","","RON","","","","","","","true",""
"yearly_21204_1_7000","Max 1 website & 7000 keywords / 1yr - 21204","","On Off","Flat Fee","Recurring","2620.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_20866_1_300","Max 1 website & 300 keywords / 1yr - 20866","","On Off","Flat Fee","Recurring","10.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_8662_1_2000","Max 1 website & 2000 keywords / 1yr - 8662","","On Off","Flat Fee","Recurring","1410.00","1","Year","","Active","","","USD","","","","","","","true",""
"yearly_21244_1_0","Max 1 website & 0 keyword / 1yr - 21244","","On Off","Flat Fee","Recurring","490.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_21616_1_190","Max 1 website & 190 keywords / 1yr - 21616","","On Off","Flat Fee","Recurring","490.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_21513_2_148","Max 2 websites & 148 keywords / 1yr - 21513","","On Off","Flat Fee","Recurring","590.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_21737_2_1009","Max 2 websites & 1009 keywords / 1yr - 21737","","On Off","Flat Fee","Recurring","1020.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_21509_1_5000","Max 1 website & 5000 keywords / 1yr - 21509","","On Off","Flat Fee","Recurring","2200.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_21911_2_0","Max 2 websites & 0 keyword / 1yr - 21911","","On Off","Flat Fee","Recurring","590.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_21911_2_300","Max 2 websites & 300 keywords / 1yr - 21911","","On Off","Flat Fee","Recurring","590.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_14349_1_37","Max 1 website & 37 keywords / 1yr - 14349","","On Off","Flat Fee","Recurring","490.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_14398_2_500","Max 2 websites & 500 keywords / 1yr - 14398","","On Off","Flat Fee","Recurring","660.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_15758_3_1000","Max 3 websites & 1000 keywords / 1yr - 15758","","On Off","Flat Fee","Recurring","750.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_15758_3_900","Max 3 websites & 900 keywords / 1yr - 15758","","On Off","Flat Fee","Recurring","1030.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_22575_1_325","Max 1 website & 325 keywords / 1yr - 22575","","On Off","Flat Fee","Recurring","490.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_22575_1_165","Max 1 website & 165 keywords / 1yr - 22575","","On Off","Flat Fee","Recurring","490.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_22575_1_300","Max 1 website & 300 keywords / 1yr - 22575","","On Off","Flat Fee","Recurring","490.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_22900_1_21","Max 1 website & 21 keywords / 1yr - 22900","","On Off","Flat Fee","Recurring","490.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_22699_1_30","Max 1 website & 30 keywords / 1yr - 22699","","On Off","Flat Fee","Recurring","490.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_22981_1_78","Max 1 website & 78 keywords / 1yr - 22981","","On Off","Flat Fee","Recurring","490.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_22865_5_568","Max 8 websites & 723 keywords / 1yr - 22865","Max 8 websites & 723 keywords / 1yr - 22865","On Off","Flat Fee","Recurring","1450.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_22865_5_600","Max 5 websites & 600 keywords / 1yr - 22865","","On Off","Flat Fee","Recurring","1100.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_4950_70_60000","Max 70 websites & 60000 keywords / 1yr - 4950","","On Off","Flat Fee","Recurring","18000.00","1","Year","","Active","","ZEO's plan for December 2017 - December 2018 70 sites and 60K keywords, for €18000/year","EUR","","","","","","","true",""
"yearly_22999_1_1","Max 1 website & 1 keyword / 1yr - 22999","","On Off","Flat Fee","Recurring","490.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_22770_2_758","Max 2 websites & 758 keywords / 1yr - 22770","","On Off","Flat Fee","Recurring","880.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_22829_20_50000","Max 20 websites & 50000 keywords / 1yr - 22829","","On Off","Flat Fee","Recurring","16000.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_22641_2_22","Max 2 websites & 22 keywords / 1yr - 22641","","On Off","Flat Fee","Recurring","590.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_15296_9_30000","Max 9 websites & 30000 keywords / 1yr - 15296","","On Off","Flat Fee","Recurring","9300.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_23017_2_1300","Max 2 websites & 1300 keywords / 1yr - 23017","","On Off","Flat Fee","Recurring","1210.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_21404_6_1800","Max 6 websites & 1800 keywords / 1yr - 21404","","On Off","Flat Fee","Recurring","1910.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_23430_1_107","Max 1 website & 107 keywords / 1yr - 23430","","On Off","Flat Fee","Recurring","490.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_16438_4_1600","Max 4 websites & 1600 keywords / 1yr - 16438","","On Off","Flat Fee","Recurring","1600.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_23770_1_24","Max 1 website & 24 keywords / 1yr - 23770","","On Off","Flat Fee","Recurring","490.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_23770_4_1600","Max 4 websites & 1600 keywords / 1yr - 23770","","On Off","Flat Fee","Recurring","1600.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_23592_1_0","Max 1 website & 0 keyword / 1yr - 23592","","On Off","Flat Fee","Recurring","490.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_6624_1_3000","Max 1 website & 3000 keywords / 1yr - 6624","","On Off","Flat Fee","Recurring","1690.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_21404_6_1208","Max 6 websites & 1208 keywords / 1yr - 21404","","On Off","Flat Fee","Recurring","1540.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_8286_5_400","Max 5 websites & 400 keywords / 1yr - 8286","","On Off","Flat Fee","Recurring","660.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_19795_1_3369","Max 1 websites & 3369 keywords / 1yr - 19795","1 website & 3369 keywords (Nov 2017 - Nov 2018)","On Off","Flat Fee","Recurring","1810.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_22699_2_30","Max 2 websites & 30 keywords / 1yr - 22699","","On Off","Flat Fee","Recurring","590.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_23865_1_1000","Max 1 website & 1000 keywords / 1yr - 23865","","On Off","Flat Fee","Recurring","940.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_23981_30_86457","Max 30 websites & 86457 keywords / 1yr - 23981","","On Off","Flat Fee","Recurring","26340.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_23879_1_18","Max 1 website & 18 keywords / 1yr - 23879","","On Off","Flat Fee","Recurring","490.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_3739_35_2500","Max 35 websites & 2500 keywords / 1yr - 3739","","On Off","Flat Fee","Recurring","3400.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_3739_35_4000","Max 35 websites & 4000 keywords / 1yr - 3739","","On Off","Flat Fee","Recurring","3400.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_23870_1_94","Max 1 website & 300 keywords / 1yr - 23870","Max 1 website & 300 keywords / 1yr - 23870","On Off","Flat Fee","Recurring","490.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_4886_20_4000","Max 20 websites & 4000 keywords / 1yr - 4886","","On Off","Flat Fee","Recurring","2800.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_24098_7_5000","Max 7 websites & 5000 keywords / 1yr - 24098","","On Off","Flat Fee","Recurring","2800.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_24299_1_1","Max 1 website & 1 keyword / 1yr - 24299","","On Off","Flat Fee","Recurring","490.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_21996_1_0","Max 1 website & 0 keyword / 1yr - 21996","","On Off","Flat Fee","Recurring","490.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_22890_1_361","Max 1 websites & 361 keywords / 1yr - 22890","1 Website and 361 Daily Tracked Keywords","On Off","Flat Fee","Recurring","2470.00","1","Year","","Active","","","RON","","","","","","","true",""
"yearly_21848_1_0","Max 1 website & 0 keyword / 1yr - 21848","","On Off","Flat Fee","Recurring","490.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_24001_3_1000","Max 3 websites & 1000 keywords / 1yr - 24001","","On Off","Flat Fee","Recurring","790.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_23984_1_2400","Max 1 website & 2400 keywords / 1yr - 23984","","On Off","Flat Fee","Recurring","1610.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_21996_4_5000","Max 4 websites & 5000 keywords / 1yr - 21996","","On Off","Flat Fee","Recurring","1750.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_24138_1_850","Max 1 websites & 850 keywords / 1yr - 24138","","On Off","Flat Fee","Recurring","595.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_23217_1_8000","Max 1 websites & 8000 keywords / 1yr - 23217","","On Off","Flat Fee","Recurring","1974.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_23714_1_10000","Max 1 websites & 10000 keywords / 1yr - 23714","Max 1 websites & 10000 keywords / 1yr - 23714","On Off","Flat Fee","Recurring","2310.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_24008_1_476","Max 1 website & 476 keywords / 1yr - 24008","","On Off","Flat Fee","Recurring","610.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_22888_1_3100","Max 1 websites & 3100 keywords / 1yr - 22888","","On Off","Flat Fee","Recurring","1770.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_24713_3_6000","Max 3 websites & 6000 keywords / 1yr - 24713","","On Off","Flat Fee","Recurring","2580.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_24005_5_1500","Max 5 websites & 1500 keywords / 1yr - 24005","","On Off","Flat Fee","Recurring","1140.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_24618_2_46","Max 2 websites & 46 keywords / 1yr - 24618","","On Off","Flat Fee","Recurring","2750.00","1","Year","","Active","","","RON","","","","","","","true",""
"yearly_5899_6_7000","Max 6 websites & 7000 keywords / 1yr - 5899","","On Off","Flat Fee","Recurring","3120.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_24618_5_46","Max 5 websites & 46 keywords / 1yr - 24618","","On Off","Flat Fee","Recurring","4150.00","1","Year","","Active","","","RON","","","","","","","true",""
"yearly_24618_3_46","Max 3 websites & 46 keywords / 1yr - 24618","","On Off","Flat Fee","Recurring","3220.00","1","Year","","Active","","","RON","","","","","","","true",""
"yearly_24618_4_46","Max 4 websites & 46 keywords / 1yr - 24618","","On Off","Flat Fee","Recurring","3680.00","1","Year","","Active","","","RON","","","","","","","true",""
"yearly_24618_2_50","Max 2 websites & 50 keywords / 1yr - 24618","","On Off","Flat Fee","Recurring","2750.00","1","Year","","Active","","","RON","","","","","","","true",""
"yearly_17552_10_2000","yearly_17552_10_2000","Max 10 websites & 2000 keywords / 1yr - 17552","On Off","Flat Fee","Recurring","2118.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_24618_4_50","Max 4 websites & 50 keywords / 1yr - 24618","","On Off","Flat Fee","Recurring","3680.00","1","Year","","Active","","","RON","","","","","","","true",""
"yearly_24954_2_205","Max 2 websites & 205 keywords / 1yr - 24954","","On Off","Flat Fee","Recurring","590.00","1","Year","","Active","","","RON","","","","","","","true",""
"yearly_24743_3_166","Max 3 websites & 166 keywords / 1yr - 24743","","On Off","Flat Fee","Recurring","690.00","1","Year","","Active","","","EUR","","","","","","","true",""
"yearly_24476_3_1000","Max 3 websites & 1000 keywords / 1yr - 24476","","On Off","Flat Fee","Recurring","1140.00","1","Year","","Active","","","RON","","","","","","","true",""
"yearly_8165_1_47655","Max 1 websites & 47655 keywords / 1yr - 8165","","On Off","Flat Fee","Recurring","16520.00","1","Year","","Active","","","USD","","","","","","","true",""
