"Coupon Id","Name","Invoice Name","Discount Type","Discount Percentage","Discount Amount","Discount Quantity","Duration Type","Duration Month","Period","Period Unit","Max Redemptions","Valid From","Valid Till","Redemptions","Status","Archived At","Created At","Currency","Apply On","Plan Constraint","Addon Constraint"
"advance_payment_annual_discount_29349_1741349451","Advance payment annual discount 29349_1741349451","","Percentage","17.0","","","Forever","","","","1","","","1","Archived","22-Dec-2025 16:17","07-Mar-2025 12:10","","Invoice amount","Not Applicable","Not Applicable"
"advance_payment_annual_discount_29349_1770018687","Advance payment annual discount 29349_1770018687","","Percentage","17.0","","","Forever","","","","1","","","0","Active","","02-Feb-2026 07:51","","Invoice amount","Not Applicable","Not Applicable"
"advance_payment_annual_discount_29349_1770018824","Advance payment annual discount 29349_1770018824","","Percentage","17.0","","","Forever","","","","1","","","0","Active","","02-Feb-2026 07:53","","Invoice amount","Not Applicable","Not Applicable"
"advance_payment_annual_discount_29349_1770019189","Advance payment annual discount 29349_1770019189","","Percentage","17.0","","","Forever","","","","1","","","0","Active","","02-Feb-2026 07:59","","Invoice amount","Not Applicable","Not Applicable"
"advance_payment_annual_discount_29349_1770020993","Advance payment annual discount 29349_1770020993","","Percentage","17.0","","","Forever","","","","1","","","0","Active","","02-Feb-2026 08:29","","Invoice amount","Not Applicable","Not Applicable"
"advance_payment_annual_discount_29349_1770024598","Advance payment annual discount 29349_1770024598","","Percentage","17.0","","","Forever","","","","1","","","0","Active","","02-Feb-2026 09:29","","Invoice amount","Not Applicable","Not Applicable"
"advance_payment_annual_discount_29349_1770042609","Advance payment annual discount 29349_1770042609","","Percentage","17.0","","","Forever","","","","1","","","1","Expired","","02-Feb-2026 14:30","","Invoice amount","Not Applicable","Not Applicable"
"advance_payment_annual_discount_30171_1638947626","Advance payment annual discount 30171_1638947626","","Percentage","17.0","","","Forever","","","","1","","","1","Expired","","08-Dec-2021 07:13","","Invoice amount","Not Applicable","Not Applicable"
"advance_payment_annual_discount_30171_1661153834","Advance payment annual discount 30171_1661153834","","Percentage","17.0","","","Forever","","","","1","","","1","Expired","","22-Aug-2022 07:37","","Invoice amount","Not Applicable","Not Applicable"
"advance_payment_annual_discount_3132_1649330208","Advance payment annual discount 3132_1649330208","","Percentage","17.0","","","Forever","","","","1","","","1","Expired","","07-Apr-2022 11:16","","Invoice amount","Not Applicable","Not Applicable"
"advance_payment_annual_discount_31524_1646998525","Advance payment annual discount 31524_1646998525","","Percentage","17.0","","","Forever","","","","1","","","1","Archived","19-Dec-2024 13:54","11-Mar-2022 11:35","","Invoice amount","Not Applicable","Not Applicable"
"advance_payment_annual_discount_31718_1759391222","Advance payment annual discount 31718_1759391222","","Percentage","17.0","","","Forever","","","","1","","","1","Expired","","02-Oct-2025 07:47","","Invoice amount","Not Applicable","Not Applicable"
"advance_payment_annual_discount_32199_1639040119","Advance payment annual discount 32199_1639040119","","Percentage","17.0","","","Forever","","","","1","","","1","Expired","","09-Dec-2021 08:55","","Invoice amount","Not Applicable","Not Applicable"
"advance_payment_annual_discount_32201_1622018656","Advance payment annual discount 32201_1622018656","","Percentage","17.0","","","Forever","","","","1","","","1","Active","","26-May-2021 08:44","","Invoice amount","Not Applicable","Not Applicable"
"advance_payment_annual_discount_32863_1654509655","Advance payment annual discount 32863_1654509655","","Percentage","17.0","","","Forever","","","","1","","","1","Archived","09-Jul-2024 07:59","06-Jun-2022 10:00","","Invoice amount","Not Applicable","Not Applicable"
"advance_payment_annual_discount_32863_1725610693","Advance payment annual discount 32863_1725610693","","Percentage","17.0","","","Forever","","","","1","","","1","Archived","08-Oct-2025 07:19","06-Sep-2024 08:18","","Invoice amount","Not Applicable","Not Applicable"
"advance_payment_annual_discount_33732_1634545999","Advance payment annual discount 33732_1634545999","","Percentage","17.0","","","Forever","","","","1","","","1","Archived","18-Feb-2025 09:03","18-Oct-2021 08:42","","Invoice amount","Not Applicable","Not Applicable"
"advance_payment_annual_discount_33739_1638177178","Advance payment annual discount 33739_1638177178","","Percentage","17.0","","","Forever","","","","1","","","1","Archived","06-Nov-2025 00:04","29-Nov-2021 09:12","","Invoice amount","Not Applicable","Not Applicable"
"advance_payment_annual_discount_33739_1765285058","Advance payment annual discount 33739_1765285058","","Percentage","17.0","","","Forever","","","","1","","","1","Expired","","09-Dec-2025 12:57","","Invoice amount","Not Applicable","Not Applicable"
"advance_payment_annual_discount_33739_1766598533","Advance payment annual discount 33739_1766598533","","Percentage","17.0","","","Forever","","","","1","","","1","Expired","","24-Dec-2025 17:49","","Invoice amount","Not Applicable","Not Applicable"
"advance_payment_annual_discount_33945_1641217512","Advance payment annual discount 33945_1641217512","","Percentage","17.0","","","Forever","","","","1","","","1","Archived","09-Apr-2024 07:29","03-Jan-2022 13:48","","Invoice amount","Not Applicable","Not Applicable"
"advance_payment_annual_discount_33945_1715673042","Advance payment annual discount 33945_1715673042","","Percentage","17.0","","","Forever","","","","1","","","1","Archived","10-Jul-2025 03:02","14-May-2024 07:50","","Invoice amount","Not Applicable","Not Applicable"
"advance_payment_annual_discount_33945_1758527545","Advance payment annual discount 33945_1758527545","","Percentage","17.0","","","Forever","","","","1","","","1","Expired","","22-Sep-2025 07:52","","Invoice amount","Not Applicable","Not Applicable"
"advance_payment_annual_discount_34015_1612789420","Advance payment annual discount 34015_1612789420","","Percentage","17.0","","","Forever","","","","1","","","0","Active","","08-Feb-2021 13:03","","Invoice amount","Not Applicable","Not Applicable"
"advance_payment_annual_discount_34015_1635334921","Advance payment annual discount 34015_1635334921","","Percentage","17.0","","","Forever","","","","1","","","1","Expired","","27-Oct-2021 11:42","","Invoice amount","Not Applicable","Not Applicable"
"advance_payment_annual_discount_34148_1615498084","Advance payment annual discount 34148_1615498084","","Percentage","17.0","","","Forever","","","","1","","","1","Active","","11-Mar-2021 21:28","","Invoice amount","Not Applicable","Not Applicable"
"advance_payment_annual_discount_34148_1616575444","Advance payment annual discount 34148_1616575444","","Percentage","17.0","","","Forever","","","","1","","","1","Active","","24-Mar-2021 08:44","","Invoice amount","Not Applicable","Not Applicable"
"advance_payment_annual_discount_34339_1621921982","Advance payment annual discount 34339_1621921982","","Percentage","17.0","","","Forever","","","","1","","","1","Archived","19-Feb-2025 16:12","25-May-2021 05:53","","Invoice amount","Not Applicable","Not Applicable"
"advance_payment_annual_discount_34339_1744360779","Advance payment annual discount 34339_1744360779","","Percentage","17.0","","","Forever","","","","1","","","1","Expired","","11-Apr-2025 08:39","","Invoice amount","Not Applicable","Not Applicable"
"advance_payment_annual_discount_34782_1616519810","Advance payment annual discount 34782_1616519810","","Percentage","17.0","","","Forever","","","","1","","","1","Active","","23-Mar-2021 17:16","","Invoice amount","Not Applicable","Not Applicable"
"advance_payment_annual_discount_34805_1692258243","Advance payment annual discount 34805_1692258243","","Percentage","17.0","","","Forever","","","","1","","","1","Expired","","17-Aug-2023 07:44","","Invoice amount","Not Applicable","Not Applicable"
"advance_payment_annual_discount_34805_1756815527","Advance payment annual discount 34805_1756815527","","Percentage","17.0","","","Forever","","","","1","","","1","Expired","","02-Sep-2025 12:18","","Invoice amount","Not Applicable","Not Applicable"
"advance_payment_annual_discount_35561_1615811416","Advance payment annual discount 35561_1615811416","","Percentage","17.0","","","Forever","","","","1","","","1","Archived","09-May-2024 08:32","15-Mar-2021 12:30","","Invoice amount","Not Applicable","Not Applicable"
"advance_payment_annual_discount_35561_1728980300","Advance payment annual discount 35561_1728980300","","Percentage","17.0","","","Forever","","","","1","","","1","Expired","","15-Oct-2024 08:18","","Invoice amount","Not Applicable","Not Applicable"
"advance_payment_annual_discount_35561_1741251589","Advance payment annual discount 35561_1741251589","","Percentage","17.0","","","Forever","","","","1","","","1","Expired","","06-Mar-2025 08:59","","Invoice amount","Not Applicable","Not Applicable"
"advance_payment_annual_discount_3739_1640344754","Advance payment annual discount 3739_1640344754","","Percentage","17.0","","","Forever","","","","1","","","1","Expired","","24-Dec-2021 11:19","","Invoice amount","Not Applicable","Not Applicable"
"advance_payment_annual_discount_37404_1612858892","Advance payment annual discount 37404_1612858892","","Percentage","17.0","","","Forever","","","","1","","","0","Active","","09-Feb-2021 08:21","","Invoice amount","Not Applicable","Not Applicable"
"advance_payment_annual_discount_38011_1617980450","Advance payment annual discount 38011_1617980450","","Percentage","17.0","","","Forever","","","","1","","","1","Active","","09-Apr-2021 15:00","","Invoice amount","Not Applicable","Not Applicable"
"advance_payment_annual_discount_38098_1625219004","Advance payment annual discount 38098_1625219004","","Percentage","17.0","","","Forever","","","","1","","","1","Active","","02-Jul-2021 09:43","","Invoice amount","Not Applicable","Not Applicable"
"advance_payment_annual_discount_38862_1626265215","Advance payment annual discount 38862_1626265215","","Percentage","17.0","","","Forever","","","","1","","","1","Archived","04-Mar-2025 10:55","14-Jul-2021 12:20","","Invoice amount","Not Applicable","Not Applicable"
"advance_payment_annual_discount_38862_1741090395","Advance payment annual discount 38862_1741090395","","Percentage","17.0","","","Forever","","","","1","","","1","Expired","","04-Mar-2025 12:13","","Invoice amount","Not Applicable","Not Applicable"
"advance_payment_annual_discount_38862_1756827053","Advance payment annual discount 38862_1756827053","","Percentage","17.0","","","Forever","","","","1","","","1","Archived","18-Feb-2026 14:12","02-Sep-2025 15:31","","Invoice amount","Not Applicable","Not Applicable"
"advance_payment_annual_discount_39640_1629301137","Advance payment annual discount 39640_1629301137","","Percentage","17.0","","","Forever","","","","1","","","1","Active","","18-Aug-2021 15:38","","Invoice amount","Not Applicable","Not Applicable"
"advance_payment_annual_discount_39640_1680858110","Advance payment annual discount 39640_1680858110","","Percentage","17.0","","","Forever","","","","1","","","1","Expired","","21-Apr-2023 14:26","","Invoice amount","Not Applicable","Not Applicable"
"advance_payment_annual_discount_40898_1625746512","Advance payment annual discount 40898_1625746512","","Percentage","17.0","","","Forever","","","","1","","","1","Active","","08-Jul-2021 12:15","","Invoice amount","Not Applicable","Not Applicable"
"advance_payment_annual_discount_42527_1613337563","Advance payment annual discount 42527_1613337563","","Percentage","17.0","","","Forever","","","","1","","","0","Active","","14-Feb-2021 21:19","","Invoice amount","Not Applicable","Not Applicable"
